F	M	J	K	L	Cycles	Cost	Product
2	2	1	1	1	202314	5375	1087437750
2	2	1	1	2	192632	4656	896894592
2	2	1	1	3	191367	4659	891578853
2	2	1	2	1	200495	5378	1078262110
2	2	1	2	2	190720	4659	888564480
2	2	1	2	3	189501	4662	883453662
2	2	1	3	1	199977	5381	1076076237
2	2	1	3	2	190289	4662	887127318
2	2	1	3	3	189200	4665	882618000
2	2	2	1	1	161585	5057	817135345
2	2	2	1	2	151230	4655	703975650
2	2	2	1	3	149595	4655	696364725
2	2	2	2	1	160935	5060	814331100
2	2	2	2	2	150588	4658	701438904
2	2	2	2	3	148917	4658	693655386
2	2	2	3	1	160827	5063	814267101
2	2	2	3	2	150475	4661	701363975
2	2	2	3	3	148803	4661	693570783
2	2	3	1	1	153915	5060	778809900
2	2	3	1	2	141469	4658	658962602
2	2	3	1	3	139484	4656	649437504
2	2	3	2	1	153330	5063	776309790
2	2	3	2	2	140845	4661	656478545
2	2	3	2	3	138843	4657	646591851
2	2	3	3	1	153219	5066	776207454
2	2	3	3	2	140729	4664	656360056
2	2	3	3	3	138730	4660	646481800
2	4	1	1	1	154600	4655	719663000
2	4	1	1	2	152244	4657	709000308
2	4	1	1	3	152113	4662	709150806
2	4	1	2	1	154422	4660	719606520
2	4	1	2	2	152058	4662	708894396
2	4	1	2	3	151931	4667	709061977
2	4	1	3	1	154394	4665	720248010
2	4	1	3	2	152030	4667	709524010
2	4	1	3	3	151903	4672	709690816
2	4	2	1	1	138337	4660	644650420
2	4	2	1	2	135105	4651	628373355
2	4	2	1	3	134976	4653	628043328
2	4	2	2	1	138159	4665	644511735
2	4	2	2	2	134934	4656	628252704
2	4	2	2	3	134806	4658	627926348
2	4	2	3	1	138131	4670	645071770
2	4	2	3	2	134908	4661	628806188
2	4	2	3	3	134780	4663	628479140
2	4	3	1	1	136580	4665	637145700
2	4	3	1	2	133838	4656	623149728
2	4	3	1	3	133720	4656	622600320
2	4	3	2	1	136404	4670	637006680
2	4	3	2	2	133670	4661	623035870
2	4	3	2	3	133551	4652	621279252
2	4	3	3	1	136376	4675	637557800
2	4	3	3	2	133644	4666	623582904
2	4	3	3	3	133525	4657	621825925
2	8	1	1	1	142184	4653	661582152
2	8	1	1	2	141924	4659	661223916
2	8	1	1	3	141920	4668	662482560
2	8	1	2	1	142084	4662	662395608
2	8	1	2	2	141817	4668	662001756
2	8	1	2	3	141813	4677	663259401
2	8	1	3	1	142084	4671	663674364
2	8	1	3	2	141817	4677	663278109
2	8	1	3	3	141813	4686	664535718
2	8	2	1	1	133462	4662	622199844
2	8	2	1	2	133366	4643	619218338
2	8	2	1	3	133365	4649	620013885
2	8	2	2	1	133368	4671	622961928
2	8	2	2	2	133267	4652	619958084
2	8	2	2	3	133266	4658	620753028
2	8	2	3	1	133368	4680	624162240
2	8	2	3	2	133267	4661	621157487
2	8	2	3	3	133266	4667	621952422
2	8	3	1	1	132567	4671	619220457
2	8	3	1	2	132339	4652	615641028
2	8	3	1	3	132337	4656	616161072
2	8	3	2	1	132474	4680	619978320
2	8	3	2	2	132240	4661	616370640
2	8	3	2	3	132238	4642	613848796
2	8	3	3	1	132474	4689	621170586
2	8	3	3	2	132240	4670	617560800
2	8	3	3	3	132238	4651	615038938
4	2	1	1	1	197429	6818	1346070922
4	2	1	1	2	186760	6460	1206469600
4	2	1	1	3	185114	6463	1196391782
4	2	1	2	1	195416	6821	1332932536
4	2	1	2	2	184758	6463	1194090954
4	2	1	2	3	183074	6466	1183756484
4	2	1	3	1	194880	6824	1329861120
4	2	1	3	2	184310	6466	1191748460
4	2	1	3	3	182626	6469	1181407594
4	2	2	1	1	154085	6661	1026360185
4	2	2	1	2	141188	6460	912074480
4	2	2	1	3	139400	6459	900384600
4	2	2	2	1	151965	6664	1012694760
4	2	2	2	2	140171	6463	905925173
4	2	2	2	3	138469	6462	894786678
4	2	2	3	1	151656	6667	1011090552
4	2	2	3	2	140017	6466	905349922
4	2	2	3	3	138311	6465	894180615
4	2	3	1	1	144694	6664	964240816
4	2	3	1	2	130223	6463	841631249
4	2	3	1	3	127805	6459	825492495
4	2	3	2	1	143322	6667	955527774
4	2	3	2	2	129244	6466	835691704
4	2	3	2	3	126789	6462	819310518
4	2	3	3	1	143179	6670	955003930
4	2	3	3	2	129085	6469	835050865
4	2	3	3	3	126639	6465	818721135
4	4	1	1	1	145192	6460	937940320
4	4	1	1	2	142322	6461	919542442
