F	M	J	K	L	Cycles	Cost	Product
2	2	1	1	1	193873	190	36835870
2	2	1	1	2	188861	189	35694729
2	2	1	1	3	187747	191	35859677
2	2	1	2	1	190205	186	35378130
2	2	1	2	2	185207	187	34633709
2	2	1	2	3	184290	190	35015100
2	2	1	3	1	189888	189	35888832
2	2	1	3	2	184869	190	35125110
2	2	1	3	3	183789	193	35471277
2	2	2	1	1	131100	181	23729100
2	2	2	1	2	125325	166	20803950
2	2	2	1	3	123878	153	18953334
2	2	2	2	1	126142	146	18416732
2	2	2	2	2	120351	135	16247385
2	2	2	2	3	119231	138	16453878
2	2	2	3	1	125890	146	18379940
2	2	2	3	2	120129	138	16577802
2	2	2	3	3	118831	141	16755171
2	2	3	1	1	114802	184	21123568
2	2	3	1	2	106554	169	18007626
2	2	3	1	3	104932	156	16369392
2	2	3	2	1	109166	149	16265734
2	2	3	2	2	100966	104	10500464
2	2	3	2	3	99621	105	10460205
2	2	3	3	1	108832	149	16215968
2	2	3	3	2	100619	107	10766233
2	2	3	3	3	99156	108	10708848
2	4	1	1	1	125527	132	16569564
2	4	1	1	2	123855	137	16968135
2	4	1	1	3	123855	142	17587410
2	4	1	2	1	124466	137	17051842
2	4	1	2	2	123399	142	17522658
2	4	1	2	3	123399	147	18139653
2	4	1	3	1	124466	142	17674172
2	4	1	3	2	123399	147	18139653
2	4	1	3	3	123399	152	18756648
2	4	2	1	1	93618	112	10485216
2	4	2	1	2	91942	82	7539244
2	4	2	1	3	91942	87	7998954
2	4	2	2	1	92577	86	7961622
2	4	2	2	2	91510	87	7961370
2	4	2	2	3	91510	92	8418920
2	4	2	3	1	92577	91	8424507
2	4	2	3	2	91510	92	8418920
2	4	2	3	3	91510	97	8876470
2	4	3	1	1	89821	117	10509057
2	4	3	1	2	88441	81	7163721
2	4	3	1	3	88441	86	7605926
2	4	3	2	1	88811	67	5950337
2	4	3	2	2	88009	67	5896603
2	4	3	2	3	88009	72	6336648
2	4	3	3	1	88811	72	6394392
2	4	3	3	2	88009	72	6336648
2	4	3	3	3	88009	77	6776693
2	8	1	1	1	109873	114	12525522
2	8	1	1	2	109774	123	13502202
2	8	1	1	3	109774	132	14490168
2	8	1	2	1	109873	123	13514379
2	8	1	2	2	109774	132	14490168
2	8	1	2	3	109774	141	15478134
2	8	1	3	1	109873	132	14503236
2	8	1	3	2	109774	141	15478134
2	8	1	3	3	109774	150	16466100
2	8	2	1	1	88307	56	4945192
2	8	2	1	2	88185	64	5643840
2	8	2	1	3	88185	73	6437505
2	8	2	2	1	88307	65	5739955
2	8	2	2	2	88185	73	6437505
2	8	2	2	3	88185	82	7231170
2	8	2	3	1	88307	74	6534718
2	8	2	3	2	88185	82	7231170
2	8	2	3	3	88185	91	8024835
2	8	3	1	1	87540	49	4289460
2	8	3	1	2	87440	56	4896640
2	8	3	1	3	87440	65	5683600
2	8	3	2	1	87540	58	5077320
2	8	3	2	2	87440	65	5683600
2	8	3	2	3	87440	74	6470560
2	8	3	3	1	87540	67	5865180
2	8	3	3	2	87440	74	6470560
2	8	3	3	3	87440	83	7257520
4	2	1	1	1	192572	235	45254420
4	2	1	1	2	187527	235	44068845
4	2	1	1	3	186213	238	44318694
4	2	1	2	1	188841	235	44377635
4	2	1	2	2	183778	235	43187830
4	2	1	2	3	182607	238	43460466
4	2	1	3	1	188484	238	44859192
4	2	1	3	2	183387	238	43646106
4	2	1	3	3	182029	241	43868989
4	2	2	1	1	128649	217	27916833
4	2	2	1	2	122128	212	25891136
4	2	2	1	3	120371	214	25759394
4	2	2	2	1	123027	202	24851454
4	2	2	2	2	116631	198	23092938
4	2	2	2	3	115258	201	23166858
4	2	2	3	1	122677	204	25026108
4	2	2	3	2	116394	201	23395194
4	2	2	3	3	114533	204	23364732
4	2	3	1	1	111180	220	24459600
4	2	3	1	2	101824	210	21383040
4	2	3	1	3	99742	209	20846078
4	2	3	2	1	105262	205	21578710
4	2	3	2	2	96216	181	17415096
4	2	3	2	3	94445	175	16527875
4	2	3	3	1	104882	200	20976400
4	2	3	3	2	95882	175	16779350
4	2	3	3	3	93552	178	16652256
4	4	1	1	1	121998	195	23789610
4	4	1	1	2	120053	200	24010600
4	4	1	1	3	120053	205	24610865
4	4	1	2	1	120756	200	24151200
4	4	1	2	2	118937	205	24382085
4	4	1	2	3	118937	210	24976770
4	4	1	3	1	120756	205	24754980
4	4	1	3	2	118918	210	24972780
4	4	1	3	3	118918	215	25567370
4	4	2	1	1	88474	187	16544638
4	4	2	1	2	86176	168	14477568
4	4	2	1	3	86176	173	14908448
4	4	2	2	1	86467	165	14267055
4	4	2	2	2	84290	170	14329300
4	4	2	2	3	84290	175	14750750
4	4	2	3	1	86467	170	14699390
4	4	2	3	2	84107	175	14718725
4	4	2	3	3	84107	180	15139260
4	4	3	1	1	79408	192	15246336
4	4	3	1	2	76106	173	13166338
4	4	3	1	3	76106	178	13546868
4	4	3	2	1	76563	153	11714139
4	4	3	2	2	73351	152	11149352
4	4	3	2	3	73381	157	11520817
4	4	3	3	1	76563	158	12096954
4	4	3	3	2	73168	157	11487376
4	4	3	3	3	73198	162	11858076
4	8	1	1	1	105685	193	20397205
4	8	1	1	2	105340	202	21278680
4	8	1	1	3	105340	211	22226740
4	8	1	2	1	105282	202	21266964
4	8	1	2	2	104772	211	22106892
4	8	1	2	3	104772	220	23049840
4	8	1	3	1	105282	211	22214502
4	8	1	3	2	104772	220	23049840
4	8	1	3	3	104772	229	23992788
4	8	2	1	1	74682	143	10679526
4	8	2	1	2	74369	148	11006612
4	8	2	1	3	74369	157	11675933
4	8	2	2	1	74279	152	11290408
4	8	2	2	2	73801	156	11512956
4	8	2	2	3	73801	165	12177165
4	8	2	3	1	74279	161	11958919
4	8	2	3	2	73801	165	12177165
4	8	2	3	3	73801	174	12841374
4	8	3	1	1	67736	148	10024928
4	8	3	1	2	67362	157	10575834
4	8	3	1	3	67392	166	11187072
4	8	3	2	1	67148	133	8930684
4	8	3	2	2	66639	135	8996265
4	8	3	2	3	66605	144	9591120
4	8	3	3	1	67148	142	9535016
4	8	3	3	2	66639	144	9596016
4	8	3	3	3	66605	153	10190565
8	2	1	1	1	192105	259	49755195
8	2	1	1	2	187044	258	48257352
8	2	1	1	3	185710	261	48470310
8	2	1	2	1	188371	257	48411347
8	2	1	2	2	183258	258	47280564
8	2	1	2	3	182086	261	47524446
8	2	1	3	1	188014	260	48883640
8	2	1	3	2	182867	261	47728287
8	2	1	3	3	181509	264	47918376
8	2	2	1	1	127813	253	32336689
8	2	2	1	2	121053	251	30384303
8	2	2	1	3	119174	249	29674326
8	2	2	2	1	121954	247	30122638
8	2	2	2	2	115189	243	27990927
8	2	2	2	3	113541	246	27931086
8	2	2	3	1	121519	250	30379750
8	2	2	3	2	114842	246	28251132
8	2	2	3	3	112789	249	28084461
8	2	3	1	1	109996	253	27828988
8	2	3	1	2	100262	246	24664452
8	2	3	1	3	97979	247	24200813
8	2	3	2	1	103871	238	24721298
8	2	3	2	2	94373	228	21517044
8	2	3	2	3	92437	231	21352947
8	2	3	3	1	103354	241	24908314
8	2	3	3	2	94021	231	21718851
8	2	3	3	3	91533	234	21418722
8	4	1	1	1	120838	240	29001120
8	4	1	1	2	118626	247	29300622
8	4	1	1	3	118512	252	29865024
8	4	1	2	1	119483	245	29273335
8	4	1	2	2	117417	252	29589084
8	4	1	2	3	117302	257	30146614
8	4	1	3	1	119483	250	29870750
8	4	1	3	2	117380	257	30166660
8	4	1	3	3	117265	262	30723430
8	4	2	1	1	86584	223	19308232
8	4	2	1	2	84278	221	18625438
8	4	2	1	3	84176	226	19023776
8	4	2	2	1	84554	220	18601880
8	4	2	2	2	82378	223	18370294
8	4	2	2	3	82275	228	18758700
8	4	2	3	1	84554	225	19024650
8	4	2	3	2	82177	228	18736356
8	4	2	3	3	81954	233	19095282
8	4	3	1	1	77177	228	17596356
8	4	3	1	2	73905	222	16406910
8	4	3	1	3	73791	227	16750557
8	4	3	2	1	74295	206	15304770
8	4	3	2	2	71104	202	14363008
8	4	3	2	3	71019	207	14700933
8	4	3	3	1	74295	211	15676245
8	4	3	3	2	70903	207	14676921
8	4	3	3	3	70698	212	14987976
8	8	1	1	1	104144	240	24994560
8	8	1	1	2	103799	249	25845951
8	8	1	1	3	103685	258	26750730
8	8	1	2	1	103724	249	25827276
8	8	1	2	2	103137	258	26609346
8	8	1	2	3	103023	267	27507141
8	8	1	3	1	103724	258	26760792
8	8	1	3	2	103137	267	27537579
8	8	1	3	3	103023	276	28434348
8	8	2	1	1	72521	207	15011847
8	8	2	1	2	72203	216	15595848
8	8	2	1	3	72094	225	16221150
8	8	2	2	1	72101	208	14997008
8	8	2	2	2	71496	217	15514632
8	8	2	2	3	71387	226	16133462
8	8	2	3	1	72101	217	15645917
8	8	2	3	2	71331	226	16120806
8	8	2	3	3	71163	235	16723305
8	8	3	1	1	63670	216	13752720
8	8	3	1	2	63279	225	14237775
8	8	3	1	3	63201	234	14789034
8	8	3	2	1	63064	198	12486672
8	8	3	2	2	62388	197	12290436
8	8	3	2	3	62279	203	12642637
8	8	3	3	1	63064	207	13054248
8	8	3	3	2	62212	206	12815672
8	8	3	3	3	62055	212	13155660
