F	M	J	K	L	Cycles	Cost	Product
2	2	1	1	1	197491	262	51742642
2	2	1	1	2	190670	265	50527550
2	2	1	1	3	189979	268	50914372
2	2	1	2	1	194876	265	51642140
2	2	1	2	2	187580	268	50271440
2	2	1	2	3	187222	271	50737162
2	2	1	3	1	193357	268	51819676
2	2	1	3	2	186065	271	50423615
2	2	1	3	3	185707	274	50883718
2	2	2	1	1	171592	209	35862728
2	2	2	1	2	166139	212	35221468
2	2	2	1	3	165105	215	35497575
2	2	2	2	1	169363	212	35904956
2	2	2	2	2	164154	215	35293110
2	2	2	2	3	163295	218	35598310
2	2	2	3	1	167776	215	36071840
2	2	2	3	2	162639	218	35455302
2	2	2	3	3	161780	221	35753380
2	2	3	1	1	166456	174	28963344
2	2	3	1	2	161302	177	28550454
2	2	3	1	3	160480	180	28886400
2	2	3	2	1	164362	177	29092074
2	2	3	2	2	159690	180	28744200
2	2	3	2	3	158874	183	29073942
2	2	3	3	1	162847	180	29312460
2	2	3	3	2	158175	183	28946025
2	2	3	3	3	157359	186	29268774
2	4	1	1	1	165972	213	35352036
2	4	1	1	2	164834	218	35933812
2	4	1	1	3	164742	223	36737466
2	4	1	2	1	162997	218	35533346
2	4	1	2	2	161807	223	36082961
2	4	1	2	3	161715	228	36871020
2	4	1	3	1	159973	223	35673979
2	4	1	3	2	158783	228	36202524
2	4	1	3	3	158691	233	36975003
2	4	2	1	1	158868	137	21764916
2	4	2	1	2	157666	142	22388572
2	4	2	1	3	157488	147	23150736
2	4	2	2	1	155841	142	22129422
2	4	2	2	2	154639	147	22731933
2	4	2	2	3	154461	152	23478072
2	4	2	3	1	152817	147	22464099
2	4	2	3	2	151615	152	23045480
2	4	2	3	3	151437	157	23775609
2	4	3	1	1	157338	93	14632434
2	4	3	1	2	156136	98	15301328
2	4	3	1	3	155950	103	16062850
2	4	3	2	1	154311	98	15122478
2	4	3	2	2	153109	103	15770227
2	4	3	2	3	152923	108	16515684
2	4	3	3	1	151287	103	15582561
2	4	3	3	2	150085	108	16209180
2	4	3	3	3	149899	113	16938587
2	8	1	1	1	159591	186	29683926
2	8	1	1	2	159322	195	31067790
2	8	1	1	3	159320	204	32501280
2	8	1	2	1	153544	195	29941080
2	8	1	2	2	153275	204	31268100
2	8	1	2	3	153273	213	32647149
2	8	1	3	1	147934	204	30178536
2	8	1	3	2	147665	213	31452645
2	8	1	3	3	147663	222	32781186
2	8	2	1	1	153301	70	10731070
2	8	2	1	2	153025	79	12088975
2	8	2	1	3	153025	88	13466200
2	8	2	2	1	147253	64	9424192
2	8	2	2	2	146977	73	10729321
2	8	2	2	3	146977	82	12052114
2	8	2	3	1	141234	73	10310082
2	8	2	3	2	140958	82	11558556
2	8	2	3	3	140958	91	12827178
2	8	3	1	1	152902	79	12079258
2	8	3	1	2	152618	88	13430384
2	8	3	1	3	152618	97	14803946
2	8	3	2	1	146854	72	10573488
2	8	3	2	2	146570	81	11872170
2	8	3	2	3	146570	90	13191300
2	8	3	3	1	140835	68	9576780
2	8	3	3	2	140551	74	10400774
2	8	3	3	3	140551	83	11665733
4	2	1	1	1	193474	305	59009570
4	2	1	1	2	185536	308	57145088
4	2	1	1	3	184793	311	57470623
4	2	1	2	1	190766	308	58755928
4	2	1	2	2	182006	311	56603866
4	2	1	2	3	181602	314	57023028
4	2	1	3	1	189240	311	58853640
4	2	1	3	2	180469	314	56667266
4	2	1	3	3	180072	317	57082824
4	2	2	1	1	158665	278	44108870
4	2	2	1	2	150817	281	42379577
4	2	2	1	3	149491	284	42455444
4	2	2	2	1	155859	281	43796379
4	2	2	2	2	148198	284	42088232
4	2	2	2	3	146897	287	42159439
4	2	2	3	1	153868	284	43698512
4	2	2	3	2	146391	287	42014217
4	2	2	3	3	145232	290	42117280
4	2	3	1	1	152015	262	39827930
4	2	3	1	2	144687	265	38342055
4	2	3	1	3	143304	268	38405472
4	2	3	2	1	149521	265	39623065
4	2	3	2	2	142384	268	38158912
4	2	3	2	3	141260	271	38281460
4	2	3	3	1	147771	268	39602628
4	2	3	3	2	140826	271	38163846
4	2	3	3	3	139793	274	38303282
4	4	1	1	1	150839	282	42536598
4	4	1	1	2	148875	287	42727125
4	4	1	1	3	148819	292	43455148
4	4	1	2	1	147517	287	42337379
4	4	1	2	2	145675	292	42537100
4	4	1	2	3	145619	297	43248843
4	4	1	3	1	144493	292	42191956
4	4	1	3	2	142651	297	42367347
4	4	1	3	3	142595	302	43063690
4	4	2	1	1	141811	249	35310939
4	4	2	1	2	139840	254	35519360
4	4	2	1	3	139377	259	36098643
4	4	2	2	1	138781	254	35250374
4	4	2	2	2	136809	259	35433531
4	4	2	2	3	136346	264	35995344
4	4	2	3	1	135757	259	35161063
4	4	2	3	2	133785	264	35319240
4	4	2	3	3	133322	269	35863618
4	4	3	1	1	139140	231	32141340
4	4	3	1	2	137213	236	32382268
4	4	3	1	3	136743	241	32955063
4	4	3	2	1	136112	236	32122432
4	4	3	2	2	134182	241	32337862
