F	M	J	K	L	Cycles	Cost	Product
2	2	1	1	1	222679	142	31620418
2	2	1	1	2	208857	131	27360267
2	2	1	1	3	206891	134	27723394
2	2	1	2	1	220575	142	31321650
2	2	1	2	2	206755	131	27084905
2	2	1	2	3	204346	134	27382364
2	2	1	3	1	220526	145	31976270
2	2	1	3	2	206659	134	27692306
2	2	1	3	3	204160	137	27969920
2	2	2	1	1	192905	119	22955695
2	2	2	1	2	176499	84	14825916
2	2	2	1	3	174063	78	13576914
2	2	2	2	1	189470	112	21220640
2	2	2	2	2	173685	73	12679005
2	2	2	2	3	170875	65	11106875
2	2	2	3	1	189326	115	21772490
2	2	2	3	2	173588	76	13192688
2	2	2	3	3	170825	68	11616100
2	2	3	1	1	185532	115	21336180
2	2	3	1	2	168720	70	11810400
2	2	3	1	3	167008	70	11690560
2	2	3	2	1	183083	114	20871462
2	2	3	2	2	165726	50	8286300
2	2	3	2	3	164366	53	8711398
2	2	3	3	1	183080	117	21420360
2	2	3	3	2	165723	53	8783319
2	2	3	3	3	164363	56	9204328
2	4	1	1	1	176776	76	13434976
2	4	1	1	2	173413	68	11792084
2	4	1	1	3	173365	73	12655645
2	4	1	2	1	176255	77	13571635
2	4	1	2	2	173315	73	12651995
2	4	1	2	3	173267	78	13514826
2	4	1	3	1	176255	82	14452910
2	4	1	3	2	173315	78	13518570
2	4	1	3	3	173267	83	14381161
2	4	2	1	1	164550	44	7240200
2	4	2	1	2	163047	42	6847974
2	4	2	1	3	163047	47	7663209
2	4	2	2	1	164359	49	8053591
2	4	2	2	2	163044	47	7663068
2	4	2	2	3	163044	52	8478288
2	4	2	3	1	164359	54	8875386
2	4	2	3	2	163044	52	8478288
2	4	2	3	3	163044	57	9293508
2	4	3	1	1	163262	49	7999838
2	4	3	1	2	162041	40	6481640
2	4	3	1	3	162041	45	7291845
2	4	3	2	1	163165	54	8810910
2	4	3	2	2	162038	43	6967634
2	4	3	2	3	162038	48	7777824
2	4	3	3	1	163165	59	9626735
2	4	3	3	2	162038	48	7777824
2	4	3	3	3	162038	53	8588014
2	8	1	1	1	169540	67	11359180
2	8	1	1	2	169537	76	12884812
2	8	1	1	3	169537	85	14410645
2	8	1	2	1	169540	76	12885040
2	8	1	2	2	169537	85	14410645
2	8	1	2	3	169537	94	15936478
2	8	1	3	1	169540	85	14410900
2	8	1	3	2	169537	94	15936478
2	8	1	3	3	169537	103	17462311
2	8	2	1	1	162201	41	6650241
2	8	2	1	2	162198	48	7785504
2	8	2	1	3	162198	57	9245286
2	8	2	2	1	162201	50	8110050
2	8	2	2	2	162198	56	9083088
2	8	2	2	3	162198	65	10542870
2	8	2	3	1	162201	59	9569859
2	8	2	3	2	162198	65	10542870
2	8	2	3	3	162198	74	12002652
2	8	3	1	1	162041	50	8102050
2	8	3	1	2	162038	57	9236166
2	8	3	1	3	162038	66	10694508
2	8	3	2	1	162041	59	9560419
2	8	3	2	2	162038	65	10532470
2	8	3	2	3	162038	74	11990812
2	8	3	3	1	162041	68	11018788
2	8	3	3	2	162038	74	11990812
2	8	3	3	3	162038	83	13449154
4	2	1	1	1	215141	185	39801085
4	2	1	1	2	200520	180	36093600
4	2	1	1	3	198260	183	36281580
4	2	1	2	1	212300	188	39912400
4	2	1	2	2	197819	183	36200877
4	2	1	2	3	195099	186	36288414
4	2	1	3	1	212204	191	40530964
4	2	1	3	2	197676	186	36767736
4	2	1	3	3	194864	189	36829296
4	2	2	1	1	181381	161	29202341
4	2	2	1	2	163576	142	23227792
4	2	2	1	3	160901	144	23169744
4	2	2	2	1	177484	162	28752408
4	2	2	2	2	160526	141	22634166
4	2	2	2	3	156712	133	20842696
4	2	2	3	1	177292	165	29253180
4	2	2	3	2	160334	144	23088096
4	2	2	3	3	156567	136	21293112
4	2	3	1	1	173253	163	28240239
4	2	3	1	2	155129	144	22338576
4	2	3	1	3	152052	138	20983176
4	2	3	2	1	170335	163	27764605
4	2	3	2	2	151432	128	19383296
4	2	3	2	3	146840	112	16446080
4	2	3	3	1	170143	166	28243738
4	2	3	3	2	151240	131	19812440
4	2	3	3	3	146508	110	16115880
4	4	1	1	1	164392	138	22686096
4	4	1	1	2	159709	136	21720424
4	4	1	1	3	159120	141	22435920
4	4	1	2	1	163779	143	23420397
4	4	1	2	2	159157	141	22441137
4	4	1	2	3	158118	146	23085228
4	4	1	3	1	163779	148	24239292
4	4	1	3	2	159157	146	23236922
4	4	1	3	3	158118	151	23875818
4	4	2	1	1	149443	127	18979261
4	4	2	1	2	144830	106	15351980
4	4	2	1	3	144829	111	16076019
4	4	2	2	1	149251	132	19701132
4	4	2	2	2	143651	88	12641288
4	4	2	2	3	143415	87	12477105
4	4	2	3	1	149251	137	20447387
4	4	2	3	2	143651	93	13359543
4	4	2	3	3	143415	92	13194180
4	4	3	1	1	146477	132	19334964
4	4	3	1	2	141562	95	13448390
4	4	3	1	3	141376	96	13572096
4	4	3	2	1	146379	137	20053923
4	4	3	2	2	140242	72	10097424
4	4	3	2	3	139633	77	10751741
4	4	3	3	1	146379	142	20785818
4	4	3	3	2	140242	77	10798634
4	4	3	3	3	139633	82	11449906
4	8	1	1	1	153908	120	18468960
4	8	1	1	2	153859	129	19847811
4	8	1	1	3	153859	138	21232542
4	8	1	2	1	153861	129	19848069
4	8	1	2	2	153812	138	21226056
4	8	1	2	3	153812	147	22610364
4	8	1	3	1	153861	138	21232818
4	8	1	3	2	153812	147	22610364
4	8	1	3	3	153812	156	23994672
4	8	2	1	1	141703	75	10627725
4	8	2	1	2	140814	81	11405934
4	8	2	1	3	140813	90	12673170
4	8	2	2	1	141703	84	11903052
4	8	2	2	2	140814	90	12673260
4	8	2	2	3	140813	99	13940487
4	8	2	3	1	141703	93	13178379
4	8	2	3	2	140814	99	13940586
4	8	2	3	3	140813	108	15207804
4	8	3	1	1	139209	84	11693556
4	8	3	1	2	138087	67	9251829
4	8	3	1	3	138086	76	10494536
4	8	3	2	1	139209	93	12946437
4	8	3	2	2	138087	76	10494612
4	8	3	2	3	138086	85	11737310
4	8	3	3	1	139209	102	14199318
4	8	3	3	2	138087	85	11737395
4	8	3	3	3	138086	94	12980084
8	2	1	1	1	212174	205	43495670
8	2	1	1	2	197109	205	40407345
8	2	1	1	3	194756	208	40509248
8	2	1	2	1	208921	208	43455568
8	2	1	2	2	193996	208	40351168
8	2	1	2	3	191183	211	40339613
8	2	1	3	1	208824	211	44061864
8	2	1	3	2	193852	211	40902772
8	2	1	3	3	190947	214	40862658
8	2	2	1	1	176903	192	33965376
8	2	2	1	2	158488	180	28527840
8	2	2	1	3	155474	179	27829846
8	2	2	2	1	172592	190	32792480
8	2	2	2	2	154794	173	26779362
8	2	2	2	3	150906	171	25804926
8	2	2	3	1	172215	193	33237495
8	2	2	3	2	154601	176	27209776
8	2	2	3	3	150713	174	26224062
8	2	3	1	1	168131	192	32281152
8	2	3	1	2	149019	173	25780287
8	2	3	1	3	145788	173	25221324
8	2	3	2	1	164890	193	31823770
8	2	3	2	2	145312	168	24412416
8	2	3	2	3	140579	160	22492640
8	2	3	3	1	164697	196	32280612
8	2	3	3	2	145072	171	24807312
8	2	3	3	3	140198	163	22852274
8	4	1	1	1	158893	171	27170703
8	4	1	1	2	153997	174	26795478
8	4	1	1	3	153408	179	27460032
8	4	1	2	1	158187	176	27840912
8	4	1	2	2	153399	179	27458421
8	4	1	2	3	152360	184	28034240
8	4	1	3	1	158187	181	28631847
8	4	1	3	2	153352	184	28216768
8	4	1	3	3	152313	189	28787157
8	4	2	1	1	143552	167	23973184
8	4	2	1	2	137444	152	20891488
8	4	2	1	3	137443	157	21578551
8	4	2	2	1	143218	172	24633496
8	4	2	2	2	136029	150	20404350
8	4	2	2	3	135793	155	21047915
8	4	2	3	1	143171	177	25341267
8	4	2	3	2	135935	153	20798055
8	4	2	3	3	135746	160	21719360
8	4	3	1	1	139886	172	24060392
8	4	3	1	2	133566	156	20836296
8	4	3	1	3	133380	161	21474180
8	4	3	2	1	139740	177	24733980
8	4	3	2	2	132198	139	18375522
8	4	3	2	3	131542	129	16968918
8	4	3	3	1	139740	182	25432680
8	4	3	3	2	132198	144	19036512
8	4	3	3	3	131495	134	17620330
8	8	1	1	1	146754	165	24214410
8	8	1	1	2	146704	174	25526496
8	8	1	1	3	146704	183	26846832
8	8	1	2	1	146707	174	25527018
8	8	1	2	2	146657	183	26838231
8	8	1	2	3	146657	192	28158144
8	8	1	3	1	146707	183	26847381
8	8	1	3	2	146657	192	28158144
8	8	1	3	3	146657	201	29478057
8	8	2	1	1	133941	145	19421445
8	8	2	1	2	132958	134	17816372
8	8	2	1	3	132957	143	19012851
8	8	2	2	1	133941	154	20626914
8	8	2	2	2	132958	143	19012994
8	8	2	2	3	132957	152	20209464
8	8	2	3	1	133941	163	21832383
8	8	2	3	2	132958	152	20209616
8	8	2	3	3	132957	161	21406077
8	8	3	1	1	131120	154	20192480
8	8	3	1	2	128920	118	15212560
8	8	3	1	3	128731	124	15962644
8	8	3	2	1	131027	163	21357401
8	8	3	2	2	128686	109	14026774
8	8	3	2	3	128685	118	15184830
8	8	3	3	1	131027	172	22536644
8	8	3	3	2	128686	118	15184948
8	8	3	3	3	128685	127	16342995
