INST	FETCH	DISP	SCHED	EXEC	STATE
1	10	11	12	13	15
2	10	11	12	13	14
3	11	12	13	14	15
4	11	12	13	14	15
5	12	13	14	16	17
6	12	13	14	15	16
7	25	26	27	28	29
8	25	26	27	28	30
9	36	37	38	39	41
10	36	37	38	39	40
11	40	41	42	43	45
12	40	41	42	43	44
13	41	42	43	44	45
14	41	42	43	44	45
15	42	43	44	46	47
16	42	43	44	45	46
17	43	44	45	46	47
18	43	44	45	46	48
19	44	45	47	49	51
20	44	45	47	48	49
21	45	46	50	51	53
22	45	46	50	51	52
23	46	47	50	51	52
24	46	47	50	51	52
25	47	48	50	54	55
26	47	48	50	52	53
27	48	49	51	52	53
28	48	49	53	54	56
29	49	50	55	57	59
30	49	50	55	56	57
31	50	51	58	59	61
32	50	51	58	59	60
33	51	52	58	59	60
34	51	52	58	59	60
35	52	53	58	62	63
36	52	53	58	60	61
37	53	54	59	60	61
38	53	54	61	62	64
39	54	55	63	65	67
40	54	55	63	64	65
41	55	56	66	67	69
42	55	56	66	67	68
43	56	57	66	67	68
44	56	57	66	67	68
45	57	58	66	70	71
46	57	58	66	68	69
47	58	59	67	68	69
48	58	59	69	70	72
49	59	60	71	73	75
50	59	60	71	72	73
51	60	61	74	75	77
52	60	61	74	75	76
53	61	62	74	75	76
54	61	62	74	75	76
55	62	63	74	78	79
56	62	63	74	76	77
57	63	64	75	76	77
58	63	64	77	78	80
59	64	65	79	81	83
60	64	65	79	80	81
61	65	66	82	83	85
62	65	66	82	83	84
63	66	67	82	83	84
64	66	67	82	83	84
65	67	68	82	86	87
66	67	68	82	84	85
67	68	69	83	84	85
68	68	69	85	86	88
69	69	70	87	89	91
70	69	70	87	88	89
71	70	71	90	91	93
72	70	71	90	91	92
73	71	72	90	91	92
74	71	72	90	91	92
75	72	73	90	94	95
76	72	73	90	92	93
77	73	74	91	92	93
78	73	74	93	94	96
79	74	75	95	97	99
80	74	75	95	96	97
81	75	76	98	99	101
82	75	76	98	99	100
83	76	77	98	99	100
84	76	77	98	99	100
85	77	78	98	102	103
86	77	78	98	100	101
87	101	102	103	104	106
88	101	102	103	105	107
89	112	113	114	115	117
90	112	113	114	115	118
91	113	114	115	116	117
92	126	127	128	129	132
93	126	127	128	130	133
94	127	128	134	135	138
95	127	128	134	135	136
96	145	146	147	148	149
97	145	146	147	148	151
98	146	147	148	149	150
99	146	147	148	149	150
100	157	158	159	160	161
101	157	158	159	160	161
102	158	159	160	161	162
103	158	159	160	161	162
104	159	160	161	163	164
105	159	160	161	162	163
106	163	164	165	166	167
107	163	164	165	166	168
108	164	165	166	167	169
109	164	165	166	167	168
110	165	166	170	171	173
111	165	166	170	171	172
112	166	167	170	171	172
113	166	167	170	171	172
114	167	168	170	174	175
115	167	168	170	172	173
116	168	169	170	172	173
117	168	169	171	172	174
118	169	170	175	177	179
119	169	170	175	176	177
120	170	171	176	178	180
121	170	171	176	177	178
122	171	172	176	177	178
123	171	172	176	177	178
124	172	173	176	180	181
125	172	173	177	178	179
126	173	174	179	180	181
127	173	174	181	182	184
128	174	175	182	183	185
129	174	175	182	183	184
130	175	176	186	187	189
131	175	176	186	187	188
132	176	177	186	187	188
133	176	177	186	187	188
134	177	178	186	190	191
135	177	178	186	188	189
136	178	179	186	188	189
137	178	179	187	188	190
138	179	180	191	193	195
139	179	180	191	192	193
140	180	181	192	194	196
141	180	181	192	193	194
142	181	182	192	193	194
143	181	182	192	193	194
144	182	183	192	196	197
145	182	183	193	194	195
146	183	184	195	196	197
147	183	184	197	198	200
148	184	185	198	199	201
149	184	185	198	199	200
150	185	186	202	203	205
151	185	186	202	203	204
152	186	187	202	203	204
153	186	187	202	203	204
154	187	188	202	206	207
155	187	188	202	204	205
156	188	189	202	204	205
157	188	189	203	204	206
158	189	190	207	209	211
159	189	190	207	208	209
160	190	191	208	210	212
161	190	191	208	209	210
162	191	192	208	209	210
163	191	192	208	209	210
164	192	193	208	212	213
165	192	193	209	210	211
166	193	194	211	212	213
167	193	194	213	214	216
168	194	195	214	215	217
169	194	195	214	215	216
170	195	196	218	219	221
171	195	196	218	219	220
172	196	197	218	219	220
173	196	197	218	219	220
174	197	198	218	222	223
175	197	198	218	220	221
176	198	199	218	220	221
177	198	199	219	220	222
178	199	200	223	225	227
179	199	200	223	224	225
180	200	201	224	226	228
181	200	201	224	225	226
182	201	202	224	225	226
183	201	202	224	225	226
184	202	203	224	228	229
185	202	203	225	226	227
186	203	204	227	228	229
187	203	204	229	230	232
188	204	205	230	231	233
189	204	205	230	231	232
190	205	206	234	235	237
191	205	206	234	235	236
192	206	207	234	235	236
193	206	207	234	235	236
194	207	208	234	238	239
195	207	208	234	236	237
196	208	209	234	236	237
