INST	FETCH	DISP	SCHED	EXEC	STATE
1	10	11	12	13	15
2	10	11	12	13	16
3	10	11	12	13	16
4	10	11	12	13	14
5	24	25	26	27	29
6	24	25	26	27	28
7	38	39	40	41	44
8	38	39	40	41	43
9	48	49	50	51	54
10	48	49	50	51	54
11	48	49	50	51	52
12	62	63	64	65	67
13	72	73	74	75	77
14	72	73	74	75	78
15	72	73	74	75	78
16	72	73	74	75	76
17	86	87	88	89	90
18	86	87	88	89	90
19	96	97	98	99	100
20	110	111	112	113	114
21	124	125	126	127	128
22	124	125	126	127	128
23	124	125	126	127	128
24	124	125	126	130	131
25	125	126	127	128	129
26	125	126	127	128	129
27	125	126	127	128	130
28	135	136	137	138	139
29	139	140	141	142	144
30	139	140	141	142	143
31	139	140	141	146	148
32	139	140	141	142	143
33	140	141	142	150	152
34	140	141	142	143	144
35	140	141	142	154	156
36	140	141	142	143	144
37	141	142	143	158	160
38	141	142	143	144	145
39	141	142	143	162	164
40	141	142	143	144	145
41	142	143	144	166	168
42	142	143	144	145	146
43	142	143	144	170	172
44	142	143	144	145	146
45	143	144	145	174	176
46	143	144	145	146	147
47	143	144	145	178	180
48	143	144	145	146	147
49	144	145	146	182	184
50	144	145	146	147	148
51	144	145	146	186	188
52	144	145	146	147	148
53	145	146	147	190	192
54	145	146	147	148	149
55	145	146	150	194	196
56	145	146	150	151	152
57	146	147	154	198	200
58	146	147	154	155	156
59	146	147	158	202	204
60	146	147	158	159	160
61	147	148	162	206	208
62	147	148	162	163	164
63	147	148	166	210	212
64	147	148	166	167	168
65	148	149	170	214	216
66	148	149	170	171	172
67	148	149	174	218	220
68	148	149	174	175	176
69	149	150	178	222	224
70	149	150	178	179	180
71	149	150	182	226	228
72	149	150	182	183	184
73	150	151	186	230	232
74	150	151	186	187	188
75	150	151	190	234	236
76	150	151	190	191	192
77	151	152	194	238	240
78	151	152	194	195	196
79	151	152	198	242	244
80	151	152	198	199	200
81	152	153	202	246	248
82	152	153	202	203	204
83	152	153	206	250	252
84	152	153	206	207	208
85	153	154	210	254	256
86	153	154	210	211	212
87	153	154	214	258	260
88	153	154	214	215	216
89	154	155	218	262	264
90	154	155	218	219	220
91	220	221	222	223	224
92	220	221	222	226	227
93	220	221	222	223	224
94	220	221	222	226	227
95	221	222	223	224	225
96	221	222	223	224	225
97	221	222	223	224	227
98	231	232	233	234	235
99	231	232	233	234	235
100	231	232	233	234	236
101	231	232	233	234	237
102	232	233	234	235	236
103	232	233	234	235	236
104	232	233	234	235	237
105	232	233	234	235	238
106	243	244	245	246	247
107	243	244	245	246	247
108	243	244	245	246	248
109	243	244	245	246	249
110	244	245	246	247	248
