INST	FETCH	DISP	SCHED	EXEC	STATE
1	10	11	12	13	14
2	10	11	12	13	16
3	11	12	13	18	20
4	11	12	13	18	19
5	12	13	14	21	22
6	12	13	14	24	25
7	13	14	16	17	18
8	13	14	20	21	22
9	24	25	26	27	30
10	24	25	26	27	28
11	38	39	40	41	44
12	38	39	40	41	42
13	39	40	41	46	48
14	39	40	41	42	45
15	50	51	52	53	54
16	50	51	52	53	55
17	51	52	53	54	55
18	51	52	53	54	55
19	65	66	67	68	71
20	65	66	67	73	76
21	66	67	68	69	70
22	66	67	73	74	77
23	67	68	73	74	75
24	77	78	79	80	82
25	77	78	79	80	81
26	78	79	80	83	84
27	78	79	80	83	85
28	79	80	81	82	83
29	93	94	95	96	98
30	93	94	95	97	99
31	94	95	96	97	98
32	108	109	110	111	112
33	108	109	110	111	112
34	109	110	111	112	115
35	109	110	111	112	113
36	110	111	112	113	114
37	124	125	126	127	130
38	124	125	126	127	128
39	125	126	127	128	129
40	125	126	127	128	129
41	126	127	128	129	130
42	126	127	128	129	132
43	127	128	130	131	132
44	127	128	131	132	133
45	143	144	145	146	149
46	143	144	145	151	154
47	144	145	151	152	155
48	144	145	151	152	153
49	153	154	156	157	160
50	153	154	156	157	158
51	154	155	156	162	164
52	154	155	157	158	161
53	155	156	157	163	164
54	155	156	157	158	160
55	156	157	158	159	160
56	156	157	158	159	160
57	157	158	162	163	166
58	157	158	163	168	171
59	158	159	163	164	165
60	158	159	168	169	172
61	159	160	168	169	170
62	159	160	168	172	174
63	160	161	168	169	170
64	160	161	168	172	173
65	161	162	168	173	175
66	161	162	168	170	171
67	162	163	176	177	179
68	162	163	177	178	180
69	163	164	177	178	179
70	163	164	177	178	179
71	164	165	177	179	180
72	164	165	177	178	181
73	165	166	177	181	182
74	165	166	181	182	183
75	166	167	181	182	185
76	166	167	181	182	183
77	167	168	182	183	184
78	167	168	184	185	186
79	168	169	185	186	187
80	168	169	185	186	189
81	169	170	185	186	187
82	169	170	186	187	188
83	170	171	187	188	191
84	170	171	191	193	196
85	171	172	193	194	197
86	171	172	193	194	195
87	172	173	198	199	202
88	172	173	198	199	200
89	173	174	198	204	206
90	173	174	199	200	203
91	174	175	199	205	206
92	174	175	199	200	202
93	175	176	199	200	201
94	175	176	199	200	201
95	176	177	204	205	208
96	176	177	205	210	213
97	177	178	205	206	207
98	177	178	210	211	214
99	178	179	210	211	212
100	178	179	210	214	216
101	179	180	210	211	212
