INST	FETCH	DISP	SCHED	EXEC	STATE
1	10	11	12	13	15
2	10	11	12	13	14
3	11	12	13	14	15
4	11	12	13	14	15
5	12	13	14	16	17
6	12	13	14	15	16
7	26	27	28	29	30
8	26	27	28	29	31
9	37	38	39	40	42
10	37	38	39	40	41
11	41	42	43	44	46
12	41	42	43	44	45
13	42	43	44	45	46
14	42	43	44	45	46
15	43	44	45	47	48
16	43	44	45	46	47
17	44	45	46	47	48
18	44	45	46	47	49
19	45	46	48	50	52
20	45	46	48	49	50
21	46	47	51	52	54
22	46	47	51	52	53
23	47	48	51	52	53
24	47	48	51	52	53
25	48	49	51	55	56
26	48	49	51	53	54
27	49	50	52	53	54
28	49	50	54	55	57
29	50	51	56	58	60
30	50	51	56	57	58
31	51	52	59	60	62
32	51	52	59	60	61
33	52	53	59	60	61
34	52	53	59	60	61
35	53	54	59	63	64
36	53	54	59	61	62
37	54	55	60	61	62
38	54	55	62	63	65
39	55	56	64	66	68
40	55	56	64	65	66
41	56	57	67	68	70
42	56	57	67	68	69
43	57	58	67	68	69
44	57	58	67	68	69
45	58	59	67	71	72
46	58	59	67	69	70
47	59	60	68	69	70
48	59	60	70	71	73
49	60	61	72	74	76
50	60	61	72	73	74
51	61	62	75	76	78
52	61	62	75	76	77
53	62	63	75	76	77
54	62	63	75	76	77
55	63	64	75	79	80
56	63	64	75	77	78
57	64	65	76	77	78
58	64	65	78	79	81
59	65	66	80	82	84
60	65	66	80	81	82
61	66	67	83	84	86
62	66	67	83	84	85
63	67	68	83	84	85
64	67	68	83	84	85
65	68	69	83	87	88
66	68	69	83	85	86
67	69	70	84	85	86
68	69	70	86	87	89
69	70	71	88	90	92
70	70	71	88	89	90
71	71	72	91	92	94
72	71	72	91	92	93
73	72	73	91	92	93
74	72	73	91	92	93
75	73	74	91	95	96
76	73	74	91	93	94
77	74	75	92	93	94
78	74	75	94	95	97
79	75	76	96	98	100
80	75	76	96	97	98
81	76	77	99	100	102
82	76	77	99	100	101
83	77	78	99	100	101
84	77	78	99	100	101
85	78	79	99	103	104
86	78	79	99	101	102
87	102	103	104	105	107
88	102	103	104	106	108
89	113	114	115	116	118
90	113	114	115	116	119
91	114	115	116	117	118
92	128	129	130	131	134
93	128	129	130	132	135
94	129	130	136	137	140
95	129	130	136	137	138
96	148	149	150	151	152
97	148	149	150	151	154
98	149	150	151	152	153
99	149	150	151	152	153
100	160	161	162	163	164
101	160	161	162	163	164
102	161	162	163	164	165
103	161	162	163	164	165
104	162	163	164	166	167
105	162	163	164	165	166
106	166	167	168	169	170
107	166	167	168	169	171
108	167	168	169	170	172
109	167	168	169	170	171
110	168	169	173	174	176
111	168	169	173	174	175
112	169	170	173	174	175
113	169	170	173	174	175
114	170	171	173	177	178
115	170	171	173	175	176
116	171	172	173	175	176
117	171	172	174	175	177
118	172	173	178	180	182
119	172	173	178	179	180
120	173	174	179	181	183
121	173	174	179	180	181
122	174	175	179	180	181
123	174	175	179	180	181
124	175	176	179	183	184
125	175	176	180	181	182
126	176	177	182	183	184
127	176	177	184	185	187
128	177	178	185	186	188
129	177	178	185	186	187
130	178	179	189	190	192
131	178	179	189	190	191
132	179	180	189	190	191
133	179	180	189	190	191
134	180	181	189	193	194
135	180	181	189	191	192
136	181	182	189	191	192
137	181	182	190	191	193
138	182	183	194	196	198
139	182	183	194	195	196
140	183	184	195	197	199
141	183	184	195	196	197
142	184	185	195	196	197
143	184	185	195	196	197
144	185	186	195	199	200
145	185	186	196	197	198
146	186	187	198	199	200
147	186	187	200	201	203
148	187	188	201	202	204
149	187	188	201	202	203
150	188	189	205	206	208
151	188	189	205	206	207
152	189	190	205	206	207
153	189	190	205	206	207
154	190	191	205	209	210
155	190	191	205	207	208
156	191	192	205	207	208
157	191	192	206	207	209
158	192	193	210	212	214
159	192	193	210	211	212
160	193	194	211	213	215
161	193	194	211	212	213
162	194	195	211	212	213
163	194	195	211	212	213
164	195	196	211	215	216
165	195	196	212	213	214
166	196	197	214	215	216
167	196	197	216	217	219
168	197	198	217	218	220
169	197	198	217	218	219
170	198	199	221	222	224
171	198	199	221	222	223
172	199	200	221	222	223
173	199	200	221	222	223
174	200	201	221	225	226
175	200	201	221	223	224
176	201	202	221	223	224
177	201	202	222	223	225
178	202	203	226	228	230
179	202	203	226	227	228
180	203	204	227	229	231
181	203	204	227	228	229
182	204	205	227	228	229
183	204	205	227	228	229
184	205	206	227	231	232
185	205	206	228	229	230
186	206	207	230	231	232
187	206	207	232	233	235
188	207	208	233	234	236
189	207	208	233	234	235
190	208	209	237	238	240
191	208	209	237	238	239
192	209	210	237	238	239
193	209	210	237	238	239
194	210	211	237	241	242
195	210	211	237	239	240
196	211	212	237	239	240
